Sector,Community Name,Category,Crime Count,Date,Year,Month,ID,Resident Count,Community Center Point,Calgary Communities,Ward Boundaries 2013-2017,Ward Boundaries,City Quadrants
SOUTHEAST,SETON,Violence Other (Non-domestic),1,2019/01,2019,JAN,2019-JAN-SETON-Violence Other (Non-domestic),,POINT (-113.9478494 50.87416379),229,8,4,3
NORTHWEST,ROCKY RIDGE,Violence Other (Non-domestic),1,2019/03,2019,MAR,2019-MAR-ROCKY RIDGE-Violence Other (Non-domestic),,POINT (-114.245899 51.14421495),193,9,13,2
NORTHEAST,MARLBOROUGH PARK,Break & Enter - Commercial,1,2019/07,2019,JUL,2019-JUL-MARLBOROUGH PARK-Break & Enter - Commercial,,POINT (-113.9467173 51.05969185),33,3,12,4
NORTH,NORTH HAVEN,Theft FROM Vehicle,1,2019/09,2019,SEP,2019-SEP-NORTH HAVEN-Theft FROM Vehicle,,POINT (-114.0894206 51.09594155),61,4,2,2
NORTHEAST,MARLBOROUGH PARK,Break & Enter - Commercial,1,2019/01,2019,JAN,2019-JAN-MARLBOROUGH PARK-Break & Enter - Commercial,,POINT (-113.9467173 51.05969185),33,3,12,4
SOUTHEAST,COPPERFIELD,Violence Other (Non-domestic),1,2019/05,2019,MAY,2019-MAY-COPPERFIELD-Violence Other (Non-domestic),,POINT (-113.9294598 50.91781022),96,8,4,3
NORTHEAST,DEERFOOT BUSINESS CENTRE,Assault (Non-domestic),1,2019/01,2019,JAN,2019-JAN-DEERFOOT BUSINESS CENTRE-Assault (Non-domestic),,POINT (-114.0383269 51.11209775),111,1,11,4
SOUTHEAST,SOUTH FOOTHILLS,Violence Other (Non-domestic),1,2019/12,2019,DEC,2019-DEC-SOUTH FOOTHILLS-Violence Other (Non-domestic),,POINT (-113.9736427 50.97126883),105,8,10,3
NORTHWEST,MONTGOMERY,Break & Enter - Dwelling,1,2019/08,2019,AUG,2019-AUG-MONTGOMERY-Break & Enter - Dwelling,,POINT (-114.1622756 51.07110788),24,7,13,2
SOUTH,SILVERADO,Assault (Non-domestic),1,2019/08,2019,AUG,2019-AUG-SILVERADO-Assault (Non-domestic),,POINT (-114.0719419 50.88507563),134,6,6,1
NORTHWEST,MONTGOMERY,Commercial Robbery,1,2019/01,2019,JAN,2019-JAN-MONTGOMERY-Commercial Robbery,,POINT (-114.1622756 51.07110788),24,7,13,2
NORTHWEST,VARSITY,Street Robbery,1,2019/09,2019,SEP,2019-SEP-VARSITY-Street Robbery,,POINT (-114.1625953 51.09600131),269,9,13,2
NORTH,KINCORA,Assault (Non-domestic),1,2019/06,2019,JUN,2019-JUN-KINCORA-Assault (Non-domestic),,POINT (-114.1328651 51.16026671),220,10,3,2
CENTRE,CAPITOL HILL,Break & Enter - Dwelling,1,2019/05,2019,MAY,2019-MAY-CAPITOL HILL-Break & Enter - Dwelling,,POINT (-114.0946516 51.07266169),63,7,7,2
SOUTHEAST,MCKENZIE TOWNE,Break & Enter - Other Premises,1,2019/05,2019,MAY,2019-MAY-MCKENZIE TOWNE-Break & Enter - Other Premises,,POINT (-113.96148 50.91713725),46,8,4,3
WEST,SPRINGBANK HILL,Theft OF Vehicle,1,2019/03,2019,MAR,2019-MAR-SPRINGBANK HILL-Theft OF Vehicle,,POINT (-114.2084583 51.02682412),289,14,1,1
CENTRE,QUEENS PARK VILLAGE,Theft FROM Vehicle,1,2019/12,2019,DEC,2019-DEC-QUEENS PARK VILLAGE-Theft FROM Vehicle,,POINT (-114.0776087 51.08514294),123,4,7,2
NORTHEAST,STONEY 4,Theft FROM Vehicle,1,2019/01,2019,JAN,2019-JAN-STONEY 4-Theft FROM Vehicle,,POINT (-114.0027575 51.17620448),243,12,11,4
CENTRE,RENFREW,Commercial Robbery,1,2019/06,2019,JUN,2019-JUN-RENFREW-Commercial Robbery,,POINT (-114.0391758 51.05965845),171,11,10,4
CENTRE,MOUNT PLEASANT,Break & Enter - Dwelling,1,2019/07,2019,JUL,2019-JUL-MOUNT PLEASANT-Break & Enter - Dwelling,,POINT (-114.0760278 51.0742307),17,7,7,2
SOUTH,CHINOOK PARK,Commercial Robbery,1,2019/06,2019,JUN,2019-JUN-CHINOOK PARK-Commercial Robbery,,POINT (-114.0889934 50.98324643),59,5,8,1
NORTHWEST,BRENTWOOD,Break & Enter - Dwelling,1,2019/04,2019,APR,2019-APR-BRENTWOOD-Break & Enter - Dwelling,,POINT (-114.1359145 51.0960662),50,4,7,2
NORTHEAST,STONEY 4,Break & Enter - Commercial,1,2019/07,2019,JUL,2019-JUL-STONEY 4-Break & Enter - Commercial,,POINT (-114.0027575 51.17620448),243,12,11,4
WEST,GLENDALE,Break & Enter - Commercial,1,2019/12,2019,DEC,2019-DEC-GLENDALE-Break & Enter - Commercial,,POINT (-114.1527402 51.03337804),41,14,1,1
CENTRE,WEST HILLHURST,Assault (Non-domestic),1,2019/02,2019,FEB,2019-FEB-WEST HILLHURST-Assault (Non-domestic),,POINT (-114.1151557 51.05505882),280,7,7,2
NORTH,COVENTRY HILLS,Theft OF Vehicle,1,2019/06,2019,JUN,2019-JUN-COVENTRY HILLS-Theft OF Vehicle,,POINT (-114.0531434 51.16490633),251,12,11,4
SOUTH,DIAMOND COVE,Theft OF Vehicle,1,2019/09,2019,SEP,2019-SEP-DIAMOND COVE-Theft OF Vehicle,,POINT (-114.0224438 50.94580508),190,13,6,3
NORTH,HIDDEN VALLEY,Break & Enter - Dwelling,1,2019/03,2019,MAR,2019-MAR-HIDDEN VALLEY-Break & Enter - Dwelling,,POINT (-114.1196092 51.15193708),25,12,2,2
NORTHWEST,BRENTWOOD,Violence Other (Non-domestic),1,2019/06,2019,JUN,2019-JUN-BRENTWOOD-Violence Other (Non-domestic),,POINT (-114.1359145 51.0960662),50,4,7,2
SOUTH,CHAPARRAL,Theft OF Vehicle,1,2019/07,2019,JUL,2019-JUL-CHAPARRAL-Theft OF Vehicle,,POINT (-114.02565 50.88459997),130,13,6,3
NORTHEAST,CITYSCAPE,Break & Enter - Dwelling,1,2019/02,2019,FEB,2019-FEB-CITYSCAPE-Break & Enter - Dwelling,,POINT (-113.961258 51.14703156),176,1,11,4
NORTHWEST,MONTGOMERY,Commercial Robbery,1,2019/10,2019,OCT,2019-OCT-MONTGOMERY-Commercial Robbery,,POINT (-114.1622756 51.07110788),24,7,13,2
CENTRE,DOWNTOWN COMMERCIAL CORE,Break & Enter - Dwelling,1,2019/02,2019,FEB,2019-FEB-DOWNTOWN COMMERCIAL CORE-Break & Enter - Dwelling,,POINT (-114.0695922 51.0472702),262,7,7,1
SOUTH,DEER RIDGE,Theft OF Vehicle,1,2019/04,2019,APR,2019-APR-DEER RIDGE-Theft OF Vehicle,,POINT (-114.0202339 50.92657361),151,13,6,3
WEST,STRATHCONA PARK,Assault (Non-domestic),1,2019/12,2019,DEC,2019-DEC-STRATHCONA PARK-Assault (Non-domestic),,POINT (-114.1775796 51.04740325),67,14,1,1
CENTRE,ELBOYA,Theft OF Vehicle,1,2019/08,2019,AUG,2019-AUG-ELBOYA-Theft OF Vehicle,,POINT (-114.0736204 51.0129938),143,5,8,1
NORTHEAST,MARTINDALE,Commercial Robbery,1,2019/12,2019,DEC,2019-DEC-MARTINDALE-Commercial Robbery,,POINT (-113.9583871 51.11791373),180,1,9,4
NORTH,KINCORA,Theft OF Vehicle,1,2019/02,2019,FEB,2019-FEB-KINCORA-Theft OF Vehicle,,POINT (-114.1328651 51.16026671),220,10,3,2
EAST,SOUTHVIEW,Commercial Robbery,1,2019/02,2019,FEB,2019-FEB-SOUTHVIEW-Commercial Robbery,,POINT (-113.9973381 51.03415568),15,11,12,3
CENTRE,HIGHLAND PARK,Break & Enter - Other Premises,1,2019/04,2019,APR,2019-APR-HIGHLAND PARK-Break & Enter - Other Premises,,POINT (-114.062069 51.0880224),259,4,2,4
NORTHWEST,HAWKWOOD,Assault (Non-domestic),1,2019/03,2019,MAR,2019-MAR-HAWKWOOD-Assault (Non-domestic),,POINT (-114.1756052 51.13097352),248,10,3,2
CENTRE,SHAGANAPPI,Break & Enter - Other Premises,1,2019/09,2019,SEP,2019-SEP-SHAGANAPPI-Break & Enter - Other Premises,,POINT (-114.1266428 51.04520482),198,2,14,1
SOUTH,WILLOW PARK,Assault (Non-domestic),1,2019/02,2019,FEB,2019-FEB-WILLOW PARK-Assault (Non-domestic),,POINT (-114.0562019 50.95661927),89,5,6,3
NORTHEAST,MAYLAND HEIGHTS,Commercial Robbery,1,2019/12,2019,DEC,2019-DEC-MAYLAND HEIGHTS-Commercial Robbery,,POINT (-114.0133252 51.06082771),140,3,12,4
CENTRE,HIGHWOOD,Street Robbery,1,2019/09,2019,SEP,2019-SEP-HIGHWOOD-Street Robbery,,POINT (-114.079901 51.09235577),37,4,7,2
SOUTH,WALDEN,Break & Enter - Dwelling,1,2019/08,2019,AUG,2019-AUG-WALDEN-Break & Enter - Dwelling,,POINT (-114.0325896 50.87040629),135,13,6,3
EAST,GREAT PLAINS,Theft FROM Vehicle,1,2019/03,2019,MAR,2019-MAR-GREAT PLAINS-Theft FROM Vehicle,,POINT (-113.939938 50.98691486),73,11,10,3
SOUTH,OAKRIDGE,Violence Other (Non-domestic),1,2019/01,2019,JAN,2019-JAN-OAKRIDGE-Violence Other (Non-domestic),,POINT (-114.1296091 50.96973921),217,5,8,1
NORTH,COUNTRY HILLS VILLAGE,Street Robbery,1,2019/02,2019,FEB,2019-FEB-COUNTRY HILLS VILLAGE-Street Robbery,,POINT (-114.0613954 51.15820385),264,12,11,4
WEST,STRATHCONA PARK,Break & Enter - Other Premises,1,2019/11,2019,NOV,2019-NOV-STRATHCONA PARK-Break & Enter - Other Premises,,POINT (-114.1775796 51.04740325),67,14,1,1
SOUTH,WOODLANDS,Break & Enter - Commercial,1,2019/07,2019,JUL,2019-JUL-WOODLANDS-Break & Enter - Commercial,,POINT (-114.1063436 50.94112),216,6,5,1
SOUTH,CHINOOK PARK,Break & Enter - Commercial,1,2019/10,2019,OCT,2019-OCT-CHINOOK PARK-Break & Enter - Commercial,,POINT (-114.0889934 50.98324643),59,5,8,1
NORTH,SANDSTONE VALLEY,Break & Enter - Commercial,1,2019/07,2019,JUL,2019-JUL-SANDSTONE VALLEY-Break & Enter - Commercial,,POINT (-114.0949625 51.13773284),270,4,2,2
SOUTH,KINGSLAND,Violence Other (Non-domestic),1,2019/05,2019,MAY,2019-MAY-KINGSLAND-Violence Other (Non-domestic),,POINT (-114.0773652 50.98688939),120,5,8,1
NORTH,HUNTINGTON HILLS,Commercial Robbery,1,2019/10,2019,OCT,2019-OCT-HUNTINGTON HILLS-Commercial Robbery,,POINT (-114.0667094 51.11758229),261,4,2,4
NORTH,THORNCLIFFE,Assault (Non-domestic),1,2019/11,2019,NOV,2019-NOV-THORNCLIFFE-Assault (Non-domestic),,POINT (-114.0687794 51.10309955),192,4,2,2
EAST,VALLEYFIELD,Theft OF Vehicle,1,2019/07,2019,JUL,2019-JUL-VALLEYFIELD-Theft OF Vehicle,,POINT (-114.0018854 51.00908479),102,11,10,3
NORTH,LIVINGSTON,Theft OF Vehicle,1,2019/07,2019,JUL,2019-JUL-LIVINGSTON-Theft OF Vehicle,,POINT (-114.0655067 51.18550406),246,12,11,4
CENTRE,KILLARNEY/GLENGARRY,Theft OF Vehicle,1,2019/12,2019,DEC,2019-DEC-KILLARNEY/GLENGARRY-Theft OF Vehicle,,POINT (-114.1317019 51.03012939),182,2,14,1
CENTRE,PARKHILL,Theft FROM Vehicle,1,2019/02,2019,FEB,2019-FEB-PARKHILL-Theft FROM Vehicle,,POINT (-114.0655518 51.01817361),60,5,10,1
SOUTH,DEER RIDGE,Assault (Non-domestic),1,2019/09,2019,SEP,2019-SEP-DEER RIDGE-Assault (Non-domestic),,POINT (-114.0202339 50.92657361),151,13,6,3
EAST,APPLEWOOD PARK,Street Robbery,1,2019/11,2019,NOV,2019-NOV-APPLEWOOD PARK-Street Robbery,,POINT (-113.9278576 51.04498178),221,11,12,3
SOUTH,PUMP HILL,Theft OF Vehicle,1,2019/12,2019,DEC,2019-DEC-PUMP HILL-Theft OF Vehicle,,POINT (-114.1007876 50.9668273),127,5,8,1
NORTHEAST,TARADALE,Break & Enter - Commercial,1,2019/08,2019,AUG,2019-AUG-TARADALE-Break & Enter - Commercial,,POINT (-113.9340021 51.11794016),26,1,11,4
SOUTHEAST,MCKENZIE LAKE,Violence Other (Non-domestic),1,2019/07,2019,JUL,2019-JUL-MCKENZIE LAKE-Violence Other (Non-domestic),,POINT (-113.9881813 50.91488084),296,13,4,3
SOUTHEAST,AUBURN BAY,Assault (Non-domestic),1,2019/12,2019,DEC,2019-DEC-AUBURN BAY-Assault (Non-domestic),,POINT (-113.9578173 50.89270535),95,8,4,3
NORTHEAST,SKYVIEW RANCH,Assault (Non-domestic),1,2019/01,2019,JAN,2019-JAN-SKYVIEW RANCH-Assault (Non-domestic),,POINT (-113.9583746 51.15612673),12,1,11,4
WEST,LINCOLN PARK,Break & Enter - Dwelling,1,2019/11,2019,NOV,2019-NOV-LINCOLN PARK-Break & Enter - Dwelling,,POINT (-114.1295569 51.01009069),42,2,8,1
NORTHEAST,FALCONRIDGE,Violence Other (Non-domestic),1,2019/06,2019,JUN,2019-JUN-FALCONRIDGE-Violence Other (Non-domestic),,POINT (-113.945375 51.10330638),56,1,9,4
NORTH,SAGE HILL,Theft OF Vehicle,1,2019/09,2019,SEP,2019-SEP-SAGE HILL-Theft OF Vehicle,,POINT (-114.1407048 51.17561697),265,10,3,2
SOUTH,FAIRVIEW INDUSTRIAL,Theft OF Vehicle,1,2019/02,2019,FEB,2019-FEB-FAIRVIEW INDUSTRIAL-Theft OF Vehicle,,POINT (-114.0688222 50.98692363),76,11,10,3
EAST,VALLEYFIELD,Theft FROM Vehicle,1,2019/06,2019,JUN,2019-JUN-VALLEYFIELD-Theft FROM Vehicle,,POINT (-114.0018854 51.00908479),102,11,10,3
SOUTHEAST,DOUGLASDALE/GLEN,Violence Other (Non-domestic),1,2019/01,2019,JAN,2019-JAN-DOUGLASDALE/GLEN-Violence Other (Non-domestic),,POINT (-114.0119037 50.94844504),268,13,4,3
WEST,SPRUCE CLIFF,Break & Enter - Dwelling,1,2019/06,2019,JUN,2019-JUN-SPRUCE CLIFF-Break & Enter - Dwelling,,POINT (-114.1362821 51.04860967),118,2,14,1
CENTRE,KILLARNEY/GLENGARRY,Street Robbery,1,2019/01,2019,JAN,2019-JAN-KILLARNEY/GLENGARRY-Street Robbery,,POINT (-114.1317019 51.03012939),182,2,14,1
CENTRE,SUNNYSIDE,Break & Enter - Dwelling,1,2019/08,2019,AUG,2019-AUG-SUNNYSIDE-Break & Enter - Dwelling,,POINT (-114.0790263 51.0564192),62,7,7,2
SOUTHEAST,CRANSTON,Commercial Robbery,1,2019/06,2019,JUN,2019-JUN-CRANSTON-Commercial Robbery,,POINT (-113.9799915 50.87820239),294,8,4,3
WEST,ROSSCARROCK,Street Robbery,1,2019/09,2019,SEP,2019-SEP-ROSSCARROCK-Street Robbery,,POINT (-114.1454937 51.04327739),281,2,14,1
EAST,DOVER,Street Robbery,1,2019/09,2019,SEP,2019-SEP-DOVER-Street Robbery,,POINT (-113.9931505 51.02246299),196,11,10,3
SOUTH,KINGSLAND,Break & Enter - Dwelling,1,2019/04,2019,APR,2019-APR-KINGSLAND-Break & Enter - Dwelling,,POINT (-114.0773652 50.98688939),120,5,8,1
WEST,SPRUCE CLIFF,Theft OF Vehicle,1,2019/06,2019,JUN,2019-JUN-SPRUCE CLIFF-Theft OF Vehicle,,POINT (-114.1362821 51.04860967),118,2,14,1
SOUTHEAST,EAST SHEPARD INDUSTRIAL,Theft FROM Vehicle,1,2019/04,2019,APR,2019-APR-EAST SHEPARD INDUSTRIAL-Theft FROM Vehicle,,POINT (-113.9509567 50.95124451),79,8,4,3
SOUTH,DEER RIDGE,Break & Enter - Dwelling,1,2019/03,2019,MAR,2019-MAR-DEER RIDGE-Break & Enter - Dwelling,,POINT (-114.0202339 50.92657361),151,13,6,3
SOUTH,QUEENSLAND,Commercial Robbery,1,2019/05,2019,MAY,2019-MAY-QUEENSLAND-Commercial Robbery,,POINT (-114.0225683 50.93822092),215,13,6,3
NORTHWEST,MONTGOMERY,Street Robbery,1,2019/11,2019,NOV,2019-NOV-MONTGOMERY-Street Robbery,,POINT (-114.1622756 51.07110788),24,7,13,2
SOUTH,PALLISER,Break & Enter - Commercial,1,2019/04,2019,APR,2019-APR-PALLISER-Break & Enter - Commercial,,POINT (-114.1121538 50.96676469),66,5,8,1
NORTHEAST,FRANKLIN,Street Robbery,1,2019/01,2019,JAN,2019-JAN-FRANKLIN-Street Robbery,,POINT (-113.9875255 51.05892746),84,3,12,4
CENTRE,UPPER MOUNT ROYAL,Theft OF Vehicle,1,2019/09,2019,SEP,2019-SEP-UPPER MOUNT ROYAL-Theft OF Vehicle,,POINT (-114.0850279 51.02996708),271,2,14,1
CENTRE,POINT MCKAY,Assault (Non-domestic),1,2019/08,2019,AUG,2019-AUG-POINT MCKAY-Assault (Non-domestic),,POINT (-114.146146 51.05954158),131,7,7,2
CENTRE,INGLEWOOD,Street Robbery,1,2019/10,2019,OCT,2019-OCT-INGLEWOOD-Street Robbery,,POINT (-114.01912 51.03414052),54,11,10,3
NORTHEAST,MONTEREY PARK,Theft FROM Vehicle,1,2019/11,2019,NOV,2019-NOV-MONTEREY PARK-Theft FROM Vehicle,,POINT (-113.926851 51.08145946),161,3,9,4
NORTH,SHERWOOD,Break & Enter - Dwelling,1,2019/07,2019,JUL,2019-JUL-SHERWOOD-Break & Enter - Dwelling,,POINT (-114.1520217 51.15998963),292,10,3,2
SOUTH,WOODLANDS,Theft OF Vehicle,1,2019/04,2019,APR,2019-APR-WOODLANDS-Theft OF Vehicle,,POINT (-114.1063436 50.94112),216,6,5,1
NORTHEAST,ABBEYDALE,Assault (Non-domestic),1,2019/08,2019,AUG,2019-AUG-ABBEYDALE-Assault (Non-domestic),,POINT (-113.9277939 51.05952012),94,3,12,4
SOUTH,PARKLAND,Break & Enter - Dwelling,1,2019/05,2019,MAY,2019-MAY-PARKLAND-Break & Enter - Dwelling,,POINT (-114.0285394 50.9211972),117,13,6,3
SOUTH,CHAPARRAL,Violence Other (Non-domestic),1,2019/02,2019,FEB,2019-FEB-CHAPARRAL-Violence Other (Non-domestic),,POINT (-114.02565 50.88459997),130,13,6,3
NORTHEAST,ABBEYDALE,Break & Enter - Other Premises,1,2019/01,2019,JAN,2019-JAN-ABBEYDALE-Break & Enter - Other Premises,,POINT (-113.9277939 51.05952012),94,3,12,4
NORTHEAST,SADDLE RIDGE INDUSTRIAL,Theft OF Vehicle,1,2019/08,2019,AUG,2019-AUG-SADDLE RIDGE INDUSTRIAL-Theft OF Vehicle,,POINT (-113.9757297 51.12518951),74,1,11,4
SOUTHEAST,SHEPARD INDUSTRIAL,Violence Other (Non-domestic),1,2019/12,2019,DEC,2019-DEC-SHEPARD INDUSTRIAL-Violence Other (Non-domestic),,POINT (-113.9927776 50.96148346),162,8,4,3
CENTRE,KILLARNEY/GLENGARRY,Theft OF Vehicle,1,2019/06,2019,JUN,2019-JUN-KILLARNEY/GLENGARRY-Theft OF Vehicle,,POINT (-114.1317019 51.03012939),182,2,14,1
NORTHWEST,COLLINGWOOD,Break & Enter - Commercial,1,2019/05,2019,MAY,2019-MAY-COLLINGWOOD-Break & Enter - Commercial,,POINT (-114.1024014 51.08350423),214,4,7,2
CENTRE,POINT MCKAY,Break & Enter - Dwelling,1,2019/10,2019,OCT,2019-OCT-POINT MCKAY-Break & Enter - Dwelling,,POINT (-114.146146 51.05954158),131,7,7,2
CENTRE,CRESCENT HEIGHTS,Theft OF Vehicle,1,2019/12,2019,DEC,2019-DEC-CRESCENT HEIGHTS-Theft OF Vehicle,,POINT (-114.0616103 51.05952142),266,7,7,4
SOUTH,WALDEN,Theft FROM Vehicle,1,2019/03,2019,MAR,2019-MAR-WALDEN-Theft FROM Vehicle,,POINT (-114.0325896 50.87040629),135,13,6,3
SOUTH,CEDARBRAE,Break & Enter - Dwelling,1,2019/10,2019,OCT,2019-OCT-CEDARBRAE-Break & Enter - Dwelling,,POINT (-114.1296161 50.95714874),126,5,8,1
NORTH,HIDDEN VALLEY,Break & Enter - Dwelling,1,2019/09,2019,SEP,2019-SEP-HIDDEN VALLEY-Break & Enter - Dwelling,,POINT (-114.1196092 51.15193708),25,12,2,2
NORTHWEST,MONTGOMERY,Break & Enter - Other Premises,1,2019/03,2019,MAR,2019-MAR-MONTGOMERY-Break & Enter - Other Premises,,POINT (-114.1622756 51.07110788),24,7,13,2
NORTHEAST,PINERIDGE,Violence Other (Non-domestic),1,2019/05,2019,MAY,2019-MAY-PINERIDGE-Violence Other (Non-domestic),,POINT (-113.946765 51.07425976),36,3,9,4
NORTHEAST,CALGARY INTERNATIONAL AIRPORT,Street Robbery,1,2019/01,2019,JAN,2019-JAN-CALGARY INTERNATIONAL AIRPORT-Street Robbery,,POINT (-114.011718 51.12355931),86,1,11,4
SOUTH,SILVERADO,Break & Enter - Commercial,1,2019/03,2019,MAR,2019-MAR-SILVERADO-Break & Enter - Commercial,,POINT (-114.0719419 50.88507563),134,6,6,1
NORTHWEST,ROYAL VISTA,Theft OF Vehicle,1,2019/10,2019,OCT,2019-OCT-ROYAL VISTA-Theft OF Vehicle,,POINT (-114.2042072 51.14946406),157,9,3,2
NORTHWEST,SCENIC ACRES,Assault (Non-domestic),1,2019/10,2019,OCT,2019-OCT-SCENIC ACRES-Assault (Non-domestic),,POINT (-114.2172583 51.11266461),148,9,13,2
SOUTH,KELVIN GROVE,Theft OF Vehicle,1,2019/05,2019,MAY,2019-MAY-KELVIN GROVE-Theft OF Vehicle,,POINT (-114.0890245 50.98977222),29,5,8,1
CENTRE,WINSTON HEIGHTS/MOUNTVIEW,Break & Enter - Dwelling,1,2019/02,2019,FEB,2019-FEB-WINSTON HEIGHTS/MOUNTVIEW-Break & Enter - Dwelling,,POINT (-114.0418555 51.07532496),88,7,10,4
SOUTH,DIAMOND COVE,Theft FROM Vehicle,1,2019/05,2019,MAY,2019-MAY-DIAMOND COVE-Theft FROM Vehicle,,POINT (-114.0224438 50.94580508),190,13,6,3
SOUTH,PALLISER,Theft FROM Vehicle,1,2019/03,2019,MAR,2019-MAR-PALLISER-Theft FROM Vehicle,,POINT (-114.1121538 50.96676469),66,5,8,1
CENTRE,ELBOYA,Break & Enter - Other Premises,1,2019/10,2019,OCT,2019-OCT-ELBOYA-Break & Enter - Other Premises,,POINT (-114.0736204 51.0129938),143,5,8,1
CENTRE,BANFF TRAIL,Break & Enter - Other Premises,1,2019/10,2019,OCT,2019-OCT-BANFF TRAIL-Break & Enter - Other Premises,,POINT (-114.115129 51.0742166),153,7,7,2
NORTH,COUNTRY HILLS VILLAGE,Assault (Non-domestic),1,2019/10,2019,OCT,2019-OCT-COUNTRY HILLS VILLAGE-Assault (Non-domestic),,POINT (-114.0613954 51.15820385),264,12,11,4
NORTHEAST,TEMPLE,Violence Other (Non-domestic),1,2019/04,2019,APR,2019-APR-TEMPLE-Violence Other (Non-domestic),,POINT (-113.9467677 51.08879459),22,3,9,4
CENTRE,CLIFF BUNGALOW,Theft OF Vehicle,1,2019/03,2019,MAR,2019-MAR-CLIFF BUNGALOW-Theft OF Vehicle,,POINT (-114.0748949 51.03393023),18,2,14,1
SOUTHEAST,SETON,Theft FROM Vehicle,1,2019/09,2019,SEP,2019-SEP-SETON-Theft FROM Vehicle,,POINT (-113.9478494 50.87416379),229,8,4,3
EAST,FOREST LAWN INDUSTRIAL,Violence Other (Non-domestic),1,2019/05,2019,MAY,2019-MAY-FOREST LAWN INDUSTRIAL-Violence Other (Non-domestic),,POINT (-113.9569697 51.02711112),97,11,12,3
NORTHEAST,MARLBOROUGH,Street Robbery,1,2019/05,2019,MAY,2019-MAY-MARLBOROUGH-Street Robbery,,POINT (-113.969988 51.0595454),77,3,12,4
SOUTHEAST,MCKENZIE TOWNE,Commercial Robbery,1,2019/06,2019,JUN,2019-JUN-MCKENZIE TOWNE-Commercial Robbery,,POINT (-113.96148 50.91713725),46,8,4,3
SOUTH,LAKE BONAVISTA,Violence Other (Non-domestic),1,2019/06,2019,JUN,2019-JUN-LAKE BONAVISTA-Violence Other (Non-domestic),,POINT (-114.0513229 50.93980907),267,13,6,3
WEST,WEST SPRINGS,Theft FROM Vehicle,1,2019/08,2019,AUG,2019-AUG-WEST SPRINGS-Theft FROM Vehicle,,POINT (-114.2061682 51.05971961),114,14,1,1
EAST,EASTFIELD,Theft OF Vehicle,1,2019/05,2019,MAY,2019-MAY-EASTFIELD-Theft OF Vehicle,,POINT (-113.9700729 51.01193851),101,11,12,3
NORTHWEST,VARSITY,Commercial Robbery,1,2019/08,2019,AUG,2019-AUG-VARSITY-Commercial Robbery,,POINT (-114.1625953 51.09600131),269,9,13,2
CENTRE,UPPER MOUNT ROYAL,Break & Enter - Other Premises,1,2019/02,2019,FEB,2019-FEB-UPPER MOUNT ROYAL-Break & Enter - Other Premises,,POINT (-114.0850279 51.02996708),271,2,14,1
CENTRE,BELTLINE,Break & Enter - Other Premises,1,2019/12,2019,DEC,2019-DEC-BELTLINE-Break & Enter - Other Premises,,POINT (-114.0551888 51.03743793),260,5,14,3
NORTH,NOLAN HILL,Theft OF Vehicle,1,2019/01,2019,JAN,2019-JAN-NOLAN HILL-Theft OF Vehicle,,POINT (-114.1663394 51.17533568),188,10,3,2
NORTHWEST,RANCHLANDS,Assault (Non-domestic),1,2019/10,2019,OCT,2019-OCT-RANCHLANDS-Assault (Non-domestic),,POINT (-114.1836435 51.11915824),245,10,3,2
SOUTH,CHAPARRAL,Street Robbery,1,2019/11,2019,NOV,2019-NOV-CHAPARRAL-Street Robbery,,POINT (-114.02565 50.88459997),130,13,6,3
SOUTH,PALLISER,Theft OF Vehicle,1,2019/01,2019,JAN,2019-JAN-PALLISER-Theft OF Vehicle,,POINT (-114.1121538 50.96676469),66,5,8,1
SOUTHEAST,MCKENZIE LAKE,Theft OF Vehicle,1,2019/03,2019,MAR,2019-MAR-MCKENZIE LAKE-Theft OF Vehicle,,POINT (-113.9881813 50.91488084),296,13,4,3
NORTHWEST,BOWNESS,Violence Other (Non-domestic),1,2019/11,2019,NOV,2019-NOV-BOWNESS-Violence Other (Non-domestic),,POINT (-114.187826 51.08335944),149,9,13,2
EAST,SOUTHVIEW,Break & Enter - Commercial,1,2019/03,2019,MAR,2019-MAR-SOUTHVIEW-Break & Enter - Commercial,,POINT (-113.9973381 51.03415568),15,11,12,3
SOUTH,MAPLE RIDGE,Theft OF Vehicle,1,2019/07,2019,JUL,2019-JUL-MAPLE RIDGE-Theft OF Vehicle,,POINT (-114.0346785 50.95763947),93,5,6,3
CENTRE,ST. ANDREWS HEIGHTS,Break & Enter - Commercial,1,2019/09,2019,SEP,2019-SEP-ST. ANDREWS HEIGHTS-Break & Enter - Commercial,,POINT (-114.1274293 51.06390669),154,7,7,2
EAST,SOUTHVIEW,Street Robbery,1,2019/08,2019,AUG,2019-AUG-SOUTHVIEW-Street Robbery,,POINT (-113.9973381 51.03415568),15,11,12,3
NORTHEAST,WHITEHORN,Assault (Non-domestic),1,2019/06,2019,JUN,2019-JUN-WHITEHORN-Assault (Non-domestic),,POINT (-113.9700682 51.08877341),145,3,9,4
SOUTHEAST,NEW BRIGHTON,Violence Other (Non-domestic),1,2019/07,2019,JUL,2019-JUL-NEW BRIGHTON-Violence Other (Non-domestic),,POINT (-113.9452476 50.92205168),139,8,4,3
EAST,SOUTHVIEW,Break & Enter - Commercial,1,2019/07,2019,JUL,2019-JUL-SOUTHVIEW-Break & Enter - Commercial,,POINT (-113.9973381 51.03415568),15,11,12,3
